ALCO,429,3021
ALCD,430,146
TSTFD,431,20
ALEX,432,1991
OLY,433,209
NAII,434,3021
ONB,435,3021
CRMT,436,3021
ALGI,437,490
CAMD,438,1529
ICCC,439,3021
XOMA,440,3001
WRPCC,441,17
WRPCD,442,20
CRTO,443,27
BOSA,444,418
CATO,445,1563
NATK,446,322
OXF,447,1126
NAVG,448,3021
ITIC,449,3021
RNBO,450,51
ALRN,451,756
ALTA,452,3
LLTC,453,3021
BUTLE,454,191
BWINB,455,3021
VIVO,456,3021
PDE,457,1867
CSBR,458,92
PGV,459,225
AMAP,460,1019
AMAG,461,2396
AMBO,462,661
RNTA,463,1332
AMCE,464,1565
PKY,465,3021
PLE,466,1037
AKLME,467,5
DELL,468,2476
PMD,469,3021
AMFI,470,1592
AMLP,471,1348
PTA,472,1197
WMLP,473,252
CBRX,474,2808
PWX,475,3021
PHYS,476,1473
AMRC,477,1372
FLAG,478,742
PXT,479,904
PZA,480,747
SAFE,481,18
SAFM,482,3021
AMWD,483,3021
FLIC,484,3021
QLIK,485,1376
CTBI,486,3021
CCDC,487,673
HARL,488,2262
RBPAA,489,3021
GORO,490,1345
ATGIE,491,7
HRTX,492,490
JBOHD,493,1
JBOHE,494,3
HRZB,495,1519
KOOLD,496,19
ANLT,497,819
TEAM,498,1751
CCSC,499,1325
TECD,500,3021
GNCMA,501,3021
IEIB,502,334
FMCO,503,889
ANSL,504,555
HBNC,505,3021
AAN,506,1272
ABY,507,963
BRAF,508,1310
ACO,509,2607
REE,510,1353
ADG,511,1690
ADM,512,3021
ADX,513,3021
XRAY,514,3021
BRAQ,515,1382
RHT,516,16
RJI,517,88
AIM,518,2376
AIN,519,3021
DXLG,520,774
RLD,521,1376
AKN,522,553
MRGO,523,696
XRIT,524,2109
IMCOE,525,4
ANE,526,64
LOGC,527,1810
BRLI,528,2929
CDNS,529,2560
DGSE,530,2570
MANA,531,1069
ATA,532,1005
NATKC,533,35
ATU,534,3021
DXYN,535,3021
RWC,536,2571
AVD,537,3021
AVM,538,625
MASB,539,1177
AXB,540,149
AYE,541,1802
MATX,542,881
SCIF,543,1348
SCIN,544,1383
SCHO,545,1361
STIZ,546,680
SCHR,547,1361
TWMC,548,3021
SCHP,549,1361
HTLD,550,3021
CVAL,551,422
